[2026-01-21 09:40:38] ERROR: Undefined variable $student (View: /var/www/html/Club-Edge/App/Views/dashboards/admin.blade.php) in /var/www/html/Club-Edge/cache/views/abcdd50659a80bd852431340a1a7877e.php:269
[2026-01-21 09:40:38] ERROR: Undefined variable $student (View: /var/www/html/Club-Edge/App/Views/dashboards/admin.blade.php) in /var/www/html/Club-Edge/cache/views/abcdd50659a80bd852431340a1a7877e.php:269
[2026-01-21 09:40:39] ERROR: Undefined variable $student (View: /var/www/html/Club-Edge/App/Views/dashboards/admin.blade.php) in /var/www/html/Club-Edge/cache/views/abcdd50659a80bd852431340a1a7877e.php:269
[2026-01-21 09:40:39] ERROR: Undefined variable $student (View: /var/www/html/Club-Edge/App/Views/dashboards/admin.blade.php) in /var/www/html/Club-Edge/cache/views/abcdd50659a80bd852431340a1a7877e.php:269
[2026-01-21 09:40:39] ERROR: Undefined variable $student (View: /var/www/html/Club-Edge/App/Views/dashboards/admin.blade.php) in /var/www/html/Club-Edge/cache/views/abcdd50659a80bd852431340a1a7877e.php:269
[2026-01-21 09:40:39] ERROR: Undefined variable $student (View: /var/www/html/Club-Edge/App/Views/dashboards/admin.blade.php) in /var/www/html/Club-Edge/cache/views/abcdd50659a80bd852431340a1a7877e.php:269
[2026-01-21 09:40:39] ERROR: Undefined variable $student (View: /var/www/html/Club-Edge/App/Views/dashboards/admin.blade.php) in /var/www/html/Club-Edge/cache/views/abcdd50659a80bd852431340a1a7877e.php:269
[2026-01-21 09:41:00] ERROR: Undefined variable $student (View: /var/www/html/Club-Edge/App/Views/dashboards/admin.blade.php) in /var/www/html/Club-Edge/cache/views/abcdd50659a80bd852431340a1a7877e.php:269
[2026-01-21 09:41:01] ERROR: Undefined variable $student (View: /var/www/html/Club-Edge/App/Views/dashboards/admin.blade.php) in /var/www/html/Club-Edge/cache/views/abcdd50659a80bd852431340a1a7877e.php:269
[2026-01-21 09:41:01] ERROR: Undefined variable $student (View: /var/www/html/Club-Edge/App/Views/dashboards/admin.blade.php) in /var/www/html/Club-Edge/cache/views/abcdd50659a80bd852431340a1a7877e.php:269
[2026-01-21 09:41:01] ERROR: Undefined variable $student (View: /var/www/html/Club-Edge/App/Views/dashboards/admin.blade.php) in /var/www/html/Club-Edge/cache/views/abcdd50659a80bd852431340a1a7877e.php:269
[2026-01-21 09:41:01] ERROR: Undefined variable $student (View: /var/www/html/Club-Edge/App/Views/dashboards/admin.blade.php) in /var/www/html/Club-Edge/cache/views/abcdd50659a80bd852431340a1a7877e.php:269
[2026-01-21 09:41:02] ERROR: Undefined variable $student (View: /var/www/html/Club-Edge/App/Views/dashboards/admin.blade.php) in /var/www/html/Club-Edge/cache/views/abcdd50659a80bd852431340a1a7877e.php:269
[2026-01-21 09:41:02] ERROR: Undefined variable $student (View: /var/www/html/Club-Edge/App/Views/dashboards/admin.blade.php) in /var/www/html/Club-Edge/cache/views/abcdd50659a80bd852431340a1a7877e.php:269
[2026-01-21 09:41:03] ERROR: Undefined variable $student (View: /var/www/html/Club-Edge/App/Views/dashboards/admin.blade.php) in /var/www/html/Club-Edge/cache/views/abcdd50659a80bd852431340a1a7877e.php:269
[2026-01-21 09:41:59] ERROR: Undefined variable $student (View: /var/www/html/Club-Edge/App/Views/dashboards/admin.blade.php) in /var/www/html/Club-Edge/cache/views/abcdd50659a80bd852431340a1a7877e.php:269
